单字	特设码	特设码类别
一	H	一码长特设码
上	Q	一码长特设码
不	W	一码长特设码
也	Y	一码长特设码
了	L	一码长特设码
二	V	一码长特设码
人	R	一码长特设码
出	C	一码长特设码
口	O	一码长特设码
和	U	一码长特设码
在	F	一码长特设码
地	T	一码长特设码
大	N	一码长特设码
对	X	一码长特设码
已	Z	一码长特设码
成	J	一码长特设码
我	P	一码长特设码
是	B	一码长特设码
来	M	一码长特设码
次	S	一码长特设码
的	D	一码长特设码
着	K	一码长特设码
能	G	一码长特设码
要	A	一码长特设码
这	I	一码长特设码
都	E	一码长特设码
冇	FAv	去重特设码
茓	CAvv	去重特设码
冈	AXvv	去重特设码
艾	CXv	去重特设码
乜	ZZv	去重特设码
郧	OGbTev	去重特设码
苒	CATuv	去重特设码
鼬	KsuGyv	去重特设码
觫	EjMuOv	去重特设码
刁	ZHiv	去重特设码
茄	CFiOv	去重特设码
宕	ATov	去重特设码
宓	AQiPv	去重特设码
芄	CPdv	去重特设码
芨	CPxv	去重特设码
芩	CRjZv	去重特设码
乞	QZyiv	去重特设码
芗	CYxv	去重特设码
苴	CDhv	去重特设码
亓	VeJv	去重特设码
芎	CJgv	去重特设码
叻	OFiv	去重特设码
苘	CAOv	去重特设码
辻	CiLv	去重特设码
右	FOv	去重特设码
蒿	CIov	去重特设码
芟	CJxv	去重特设码
唬	OKhuv	去重特设码
弗	JgJv	去重特设码
乍	QQv	去重特设码
因	ANK	无理特设码
困	AMK	无理特设码
闲	AMM	无理特设码
料	UUI	无理特设码
凸	VTU	无理特设码
凹	VAO	无理特设码
你	RT	无理特设码
您	RTQ	无理特设码
说	IS	无理特设码
的	DE	无理特设码
